Episode,Action,Distance Travelled,Reward
99,1,7.0710678118654755,3.6812165057753683
98,5,1.4142135623730951,3.763751232720389
97,9,7.0710678118654755,3.84979292120385
96,8,4.0,3.769585034459662
95,4,3.1622776601683795,4.052129235392336
94,2,3.605551275463989,3.25248957378159
93,0,2.23606797749979,2.592154569438885
92,3,10.44030650891055,3.670195949437887
91,7,5.385164807134504,4.0001495652616965
90,6,4.47213595499958,5.385570261708064
89,9,2.8284271247461903,5.118875511836608
88,5,7.0710678118654755,5.224255015859323
87,2,9.433981132056603,5.123210566973498
86,8,6.4031242374328485,5.241589762631735
85,1,4.47213595499958,5.2049743218651505
84,3,1.0,5.378830337609194
83,4,7.280109889280518,5.26244309821204
82,7,5.830951894845301,5.347920954872857
81,0,8.246211251235321,5.286176112436698
80,1,10.770329614269007,5.006292898036574
79,5,1.4142135623730951,4.873853643484377
78,8,3.1622776601683795,4.91750051538339
77,3,4.123105625617661,4.806400208147452
76,4,7.280109889280518,4.567131634105693
75,2,3.605551275463989,4.418297170175185
74,6,3.605551275463989,4.6461271831113
73,5,5.830951894845301,3.7206444118779247
72,9,7.0710678118654755,4.770060311547478
71,0,2.8284271247461903,5.015300758881243
70,7,8.246211251235321,5.157963653903844
69,1,6.324555320336759,5.1367022856283135
68,2,10.816653826391969,5.0833685566033555
67,8,6.4031242374328485,5.22042311541091
66,3,4.123105625617661,5.059861705790269
65,5,1.0,5.181808275390215
64,9,7.0710678118654755,5.310909415593734
63,4,1.4142135623730951,5.483162792670713
62,0,3.1622776601683795,5.361662912584992
61,1,10.770329614269007,5.154698603925527
60,8,4.47213595499958,4.905395209179952
59,6,2.8284271247461903,4.7754951298432635
58,2,3.605551275463989,4.990463851748411
57,7,7.0,5.072443893144711
56,1,6.324555320336759,4.862181072816468
55,5,1.4142135623730951,5.054634933047136
54,0,9.486832980505138,4.984073578175024
53,9,2.8284271247461903,5.146992542688895
52,3,8.06225774829855,5.153906530553167
51,4,7.280109889280518,5.2495103700519214
50,6,1.4142135623730951,5.377542932262722
49,8,2.8284271247461903,5.447828028848868
48,1,4.47213595499958,5.313472703612669
47,2,10.816653826391969,5.200976823913383
46,5,9.433981132056603,5.020509107531035
45,7,5.0990195135927845,4.986374717585422
44,0,8.246211251235321,4.976917732676468
43,9,2.8284271247461903,4.959749485089306
42,3,8.06225774829855,5.140865119572239
41,6,6.708203932499369,5.000628815465236
40,2,3.605551275463989,4.005624362473252
39,4,3.605551275463989,5.3522367236153325
38,8,3.1622776601683795,5.583649363159161
37,1,4.47213595499958,5.524690295670536
36,5,1.4142135623730951,5.430818966445837
35,0,9.486832980505138,5.352363227139423
34,2,2.23606797749979,5.3043537352992525
33,3,10.295630140987,4.299678958943264
32,7,5.385164807134504,5.4440069455153814
31,9,7.211102550927978,5.587217684357244
30,6,2.8284271247461903,5.4776396953971735
29,8,2.8284271247461903,5.3485913327066905
28,1,4.47213595499958,5.159458619725737
27,5,1.4142135623730951,5.0528361116996034
26,0,9.486832980505138,4.98686907800336
25,4,3.1622776601683795,5.144318381641416
24,2,3.605551275463989,5.075378905826848
23,3,10.295630140987,5.327079396029327
22,1,1.0,5.060967341891442
21,7,6.324555320336759,5.02522570934068
20,5,5.0990195135927845,4.579039460211222
19,9,7.0710678118654755,4.772991185098067
18,6,2.8284271247461903,4.829128857935196
17,0,4.0,4.877528857542148
16,3,10.44030650891055,3.6117225591252584
15,2,10.295630140987,3.4946745273835456
14,8,6.4031242374328485,4.926215837910534
13,7,4.47213595499958,4.773760074807643
12,5,5.0990195135927845,3.7913274888961697
11,4,6.324555320336759,5.036766073760621
10,1,7.615773105863909,5.021561044721949
9,9,8.246211251235321,4.865166667135018
8,0,2.8284271247461903,5.121799130153385
7,2,2.23606797749979,4.8113201769905904
6,7,7.0,4.597454440901284
5,6,4.47213595499958,3.7073028684701503
4,3,6.708203932499369,4.927618117093966
3,9,8.06225774829855,4.813933833580194
2,8,4.0,4.917028240713806
1,4,3.1622776601683795,5.175259037481853
0,0,3.1622776601683795,4.967925840386176
-1,5,9.486832980505138,4.871462086637888
-2,7,5.0990195135927845,3.971737732909535
-3,1,6.324555320336759,5.171025402040341
-4,2,10.816653826391969,5.277347133102362
-5,3,10.295630140987,5.283358323585592
-6,6,6.708203932499369,5.196824417173193
-7,9,2.8284271247461903,5.407646644209327
-8,8,4.0,5.183675893008716
-9,0,6.324555320336759,5.239400648781646
-10,4,3.1622776601683795,5.236716683239806
-11,5,6.324555320336759,5.054122757963918
-12,7,5.0990195135927845,4.857672879297053
-13,2,7.0,5.008628864461386
-14,1,10.816653826391969,5.034431644949057
-15,8,4.47213595499958,4.6380155033048815
-16,3,4.123105625617661,4.656871716637283
-17,5,1.0,4.37472233138186
-18,0,9.486832980505138,4.710774081600337
-19,9,2.8284271247461903,4.681434162590235
-20,2,4.123105625617661,3.4259758617517138
-21,4,3.605551275463989,3.5914087629395723
-22,6,1.4142135623730951,4.801005335130166
-23,7,4.47213595499958,4.901619112892409
-24,1,6.324555320336759,4.744260936904412
-25,8,4.47213595499958,4.8132133158288175
-26,3,4.123105625617661,4.788820779273383
-27,9,8.06225774829855,4.994532694895215
-28,5,7.0710678118654755,4.7575772553181865
-29,1,1.4142135623730951,4.600827266150508
-30,0,10.770329614269007,4.873459996916545
-31,4,3.1622776601683795,4.85347824361672
-32,2,3.605551275463989,4.930553801600134
-33,6,3.605551275463989,5.184155302128352
-34,7,4.47213595499958,5.507454994243161
-35,0,8.246211251235321,5.295168784229582
-36,9,2.8284271247461903,5.538985270683335
-37,1,8.246211251235321,5.3297957301614955
-38,8,4.47213595499958,5.441939466873594
-39,5,3.1622776601683795,5.338077329640713
-40,3,1.0,5.344147258925589
-41,2,10.295630140987,5.299318222043735
-42,7,7.0,5.347775453189075
-43,1,6.324555320336759,5.33633444315175
-44,9,8.246211251235321,5.026755981729293
-45,8,4.0,3.969684769033094
-46,4,3.1622776601683795,5.150826423743886
-47,5,6.324555320336759,5.006940527663676
-48,6,5.830951894845301,5.201657169852589
-49,0,4.0,5.072564677725587
-50,7,8.246211251235321,5.045052471597316
-51,1,6.324555320336759,5.217159196427797
-52,2,10.816653826391969,5.289912052650133
-53,9,4.123105625617661,5.4480710490097675
-54,5,7.0710678118654755,4.243256939511619
-55,3,1.0,5.236696618407293
-56,8,4.123105625617661,5.394261707543824
-57,6,2.8284271247461903,5.357091120474718
-58,7,4.47213595499958,5.129341915705677
-59,9,7.211102550927978,4.966514045586511
-60,4,1.4142135623730951,5.200292225447913
-61,5,6.324555320336759,5.241686322167342
-62,2,9.433981132056603,5.043707629023394
-63,0,2.23606797749979,5.283165630072821
-64,1,10.770329614269007,5.212468157970127
-65,3,1.0,5.197002380066816
-66,5,1.0,4.873980645967998
-67,6,5.830951894845301,4.921799734305174
-68,2,3.605551275463989,5.010831946562052
-69,7,7.0,5.1743872619679765
-70,9,7.211102550927978,5.037423704366106
-71,0,2.8284271247461903,4.8758017101423095
-72,8,6.324555320336759,4.917390562139983
-73,4,3.1622776601683795,5.02572635728578
-74,2,3.605551275463989,4.992937436943284
-75,3,10.295630140987,5.169419228317005
-76,1,1.0,5.137782258070583
-77,5,1.4142135623730951,5.176965869516723
-78,6,5.830951894845301,4.876006482487291
-79,9,2.8284271247461903,5.004147339316153
-80,2,4.123105625617661,4.81462621952355
-81,3,10.295630140987,4.777717661179044
-82,7,5.385164807134504,4.917628676401453
-83,0,8.246211251235321,5.1415979254413084
-84,1,10.770329614269007,4.889143108045537
-85,8,4.47213595499958,5.2069349567385546
-86,4,3.1622776601683795,5.287856635908168
-87,3,7.280109889280518,5.205713463207816
-88,2,10.295630140987,5.048545632093789
-89,5,9.433981132056603,5.220824220846359
-90,6,5.830951894845301,5.331795824970872
-91,9,2.8284271247461903,5.58670507980803
-92,7,7.211102550927978,5.519124731348957
-93,8,4.47213595499958,5.69118801468939
-94,0,6.324555320336759,5.668400507127035
-95,1,10.770329614269007,5.6349191646965435
-96,3,1.0,5.3377210537571855
-97,4,7.280109889280518,5.207707879764477
-98,2,3.605551275463989,5.114782772167764
-99,5,9.433981132056603,5.087636463406236
