Episode,Action,Distance_Travelled,Total_Distance,Dead_Sensors,Reward
99,0,0.0,0.0,0,7.0560317806299055
98,8,0.0,0.0,0,4.021853100418164
97,4,0.0,0.0,0,4.4101697318024184
96,6,0.0,0.0,0,4.7843164395068
95,0,0.0,0.0,0,4.75161134480307
94,7,0.0,0.0,0,5.1375435303288235
93,5,0.0,0.0,0,5.550246868390391
92,3,0.0,0.0,0,7.984607000479207
91,7,0.0,0.0,0,5.976823546140743
90,7,0.0,0.0,0,5.961109046763384
89,7,0.0,0.0,0,5.942230137773503
88,7,0.0,0.0,0,5.934647516143727
87,7,0.0,0.0,0,5.921147782385867
86,9,0.0,0.0,0,6.373977030369182
85,4,0.0,0.0,0,6.357098460988211
84,1,0.0,0.0,0,6.8138886812019015
83,2,0.0,0.0,0,9.3
82,8,0.0,0.0,0,7.3
81,7,0.0,0.0,0,7.3
80,7,0.0,0.0,0,7.3
79,0,0.0,0.0,0,9.3
78,3,0.0,0.0,0,7.3
77,6,0.0,0.0,0,7.3
