Episode,Action,Distance_Travelled,Total_Distance,Dead_Sensors,Reward
99,14,0.0,0.0,0,-2.0
98,4,0.0,0.0,0,-2.0
97,10,0.0,0.0,0,-2.0
96,8,0.0,0.0,0,-2.0
95,1,0.0,0.0,0,-2.0
94,13,0.0,0.0,0,-2.0
93,7,0.0,0.0,0,-3.65848664419222
92,12,0.0,0.0,1,-3.7644651302199774
91,9,0.0,0.0,3,-4.666744181615361
90,11,0.0,0.0,5,-5.8036505438340145
89,6,0.0,0.0,7,-4.020843925649622
88,5,0.0,0.0,8,-6.631966277753043
87,10,0.0,0.0,10,-4.844681396547653
86,3,0.0,0.0,13,-2.5085645436710573
85,0,0.0,0.0,15,-1.5181870478606179
84,4,0.0,0.0,16,-3.031708728657487
83,2,0.0,0.0,17,-0.5833572944742036
82,8,0.0,0.0,17,-2.0
81,14,0.0,0.0,17,1.5
80,9,0.0,0.0,17,-2.0
79,1,0.0,0.0,17,1.5
78,6,0.0,0.0,17,-2.0
77,10,0.0,0.0,17,-2.0
76,13,0.0,0.0,17,1.5
75,12,0.0,0.0,17,-2.0
74,11,0.0,0.0,17,-2.0
73,4,0.0,0.0,17,-2.0
72,7,0.0,0.0,17,-0.30967270633498556
71,5,0.0,0.0,17,-2.0
70,14,0.0,0.0,17,-2.0
69,2,0.0,0.0,17,-2.8103258883911617
68,3,0.0,0.0,17,-0.35886608112317386
67,1,0.0,0.0,17,-2.0
66,13,0.0,0.0,17,-2.0
65,9,0.0,0.0,17,-2.0
64,8,0.0,0.0,17,-0.3284539591380893
63,0,0.0,0.0,17,1.5
62,6,0.0,0.0,17,1.5
61,10,0.0,0.0,17,1.5
60,5,0.0,0.0,17,-2.0
59,14,0.0,0.0,17,-2.0
58,12,0.0,0.0,17,-2.0
57,7,0.0,0.0,17,-2.8786570502788043
56,3,0.0,0.0,18,-2.936703974360019
55,4,0.0,0.0,19,-0.5080003740678156
54,11,0.0,0.0,19,1.5
53,1,0.0,0.0,19,-2.0
52,13,0.0,0.0,19,1.5
51,9,0.0,0.0,19,1.5
50,8,0.0,0.0,19,1.5
49,10,0.0,0.0,19,-2.0
48,5,0.0,0.0,19,-2.0
47,0,0.0,0.0,19,-2.0
46,6,0.0,0.0,19,-2.0
45,14,0.0,0.0,19,1.5
44,2,0.0,0.0,19,1.5
43,13,0.0,0.0,19,-2.0
42,3,0.0,0.0,19,1.5
41,1,0.0,0.0,19,-2.0
40,4,0.0,0.0,19,1.5
39,11,0.0,0.0,19,1.5
38,7,0.0,0.0,19,-1.1282077008987512
37,10,0.0,0.0,19,-2.8663371454535933
36,12,0.0,0.0,20,-0.4491884727740203
35,0,0.0,0.0,20,-2.0
34,8,0.0,0.0,20,-2.0
33,9,0.0,0.0,20,-2.0
32,6,0.0,0.0,20,-0.33303574808847314
31,3,0.0,0.0,20,-2.0
30,5,0.0,0.0,20,1.5
29,4,0.0,0.0,20,-2.0
28,1,0.0,0.0,20,-2.0
27,2,0.0,0.0,20,-2.0
26,13,0.0,0.0,20,1.5
25,8,0.0,0.0,20,-2.0
24,10,0.0,0.0,20,-2.0
23,5,0.0,0.0,20,-2.0
22,14,0.0,0.0,20,-0.3693519095866631
21,6,0.0,0.0,20,-2.0
20,11,0.0,0.0,20,-0.30870687291962673
19,2,0.0,0.0,20,-2.8615000705389444
18,7,0.0,0.0,20,-0.3663425150828463
17,12,0.0,0.0,20,-2.0
16,3,0.0,0.0,20,-3.6672404877676295
15,0,0.0,0.0,21,-4.8111322561887775
14,9,0.0,0.0,22,-0.5079577721650961
13,4,0.0,0.0,22,-0.35955786352571595
12,8,0.0,0.0,22,-2.0
11,1,0.0,0.0,22,1.5
10,5,0.0,0.0,22,1.5
9,10,0.0,0.0,22,-2.0
8,7,0.0,0.0,22,-2.0
7,13,0.0,0.0,22,1.5
6,11,0.0,0.0,22,-2.0
5,6,0.0,0.0,22,-0.3360731132686874
4,14,0.0,0.0,22,-2.0
